segment_id,x_range_start,x_range_end,y_range_start,y_range_end,n_points,Persistence Entropy (H0),Persistence Entropy (H1),Number of Points (H0),Number of Points (H1),Bottleneck Amplitude (H0),Bottleneck Amplitude (H1),Wasserstein Amplitude (H0),Wasserstein Amplitude (H1),Landscape Amplitude (H0),Landscape Amplitude (H1),Persistence Image Amplitude (H0),Persistence Image Amplitude (H1),Betti Amplitude (H0),Betti Amplitude (H1),Heat Amplitude (H0),Heat Amplitude (H1)
segment_x01_y01,711392.654,711407.38146,308210.687,308230.53952500003,51,5.338613809105934,1.6338028754736376,50.0,5.0,1.7177575826644897,0.3102254867553711,4.36529769863491,0.40918764758749465,1.838124929497018,0.17048803778257138,48.74919736784178,5.251654066345909,41.014906523312185,1.3718069165366282,68.51524464410308,7.707168661206634
segment_x01_y02,711392.654,711407.38146,308226.929975,308248.587275,158,6.903532620542891,4.203929869834085,157.0,27.0,2.731541156768799,0.5284252166748047,6.055866928015409,1.1859804880473488,3.685902444644833,0.43564504590282965,160.26905445892646,21.81980979544898,108.38131710078052,7.013265466483494,235.45772147918083,24.841720978663158
segment_x01_y03,711392.654,711407.38146,308244.97772499995,308266.635025,6,1.9630778545512253,-1.0,5.0,0.0,6.611512660980225,0.0,7.596416169078238,0.0,13.879808194601445,0.0,0.0,0.0,9.26730174519916,0.0,8.297622685744662,0.0
segment_x02_y01,711404.7037399999,711420.77006,308210.687,308230.53952500003,50,5.313439816367462,2.521193483206031,49.0,8.0,2.807755470275879,1.008565902709961,7.119346145774035,1.2480585504893134,3.841237294636723,0.900549508339799,38.280872345127705,7.675430995873684,51.94280006671334,2.495290742385051,52.89058204883869,10.685058107630951
segment_x02_y02,711404.7037399999,711420.77006,308226.929975,308248.587275,237,7.483104634824218,4.74381692283706,236.0,41.0,1.8122172355651855,0.7029083967208862,6.740989310195075,1.5486925962301845,1.9918085787876798,0.7798443442055312,260.3947978564768,30.6804284221798,153.15813108697225,7.787145032571351,343.5132952023594,35.521733053353756
segment_x02_y03,711404.7037399999,711420.77006,308244.97772499995,308266.635025,220,7.43926044837751,4.542955487081869,219.0,41.0,2.030564069747925,0.8198264837265015,6.47981701545085,1.629085333868766,2.3624208097248505,0.8309753659568961,234.20421347248924,32.98601963704383,148.6197147311762,9.474896148926263,325.4674575588143,37.393941394205456
segment_x02_y04,711404.7037399999,711420.77006,308263.025475,308282.878,28,4.4258623382931965,0.9106501359682178,27.0,2.0,2.030564069747925,0.11046755313873291,4.242509619052559,0.12269695465633094,2.3624208097248505,0.03155893998026015,24.50898957741128,2.0252040788766714,24.873403628767004,0.5738869933265905,34.42124494426682,3.294695151932304
segment_x03_y01,711418.09234,711434.15866,308210.687,308230.53952500003,22,4.20234987670392,0.9208905553263292,21.0,2.0,2.1316003799438477,0.3699326515197754,5.268432802112532,0.4145798473903044,2.5409194473297965,0.19397726599379975,16.682991715403464,2.065394058469606,25.629619936593116,1.2127500867835912,23.269407844996795,4.089672110813846
segment_x03_y02,711418.09234,711434.15866,308226.929975,308248.587275,43,5.096567771456368,1.3884442677782456,42.0,4.0,2.8495798110961914,0.6218082904815674,6.678097823242772,0.8791525929915947,3.927384769055971,0.562407470158911,35.73562939867447,4.680955634904201,44.750979328692424,1.6487132264656519,47.93691074861195,6.17191853462063
segment_x03_y03,711418.09234,711434.15866,308244.97772499995,308266.635025,199,7.225898776749629,4.5927407166493035,198.0,37.0,2.411137342453003,0.5858887434005737,7.1899879226075445,1.2463802106252233,3.05678671748153,0.52464686602831,219.1870300987101,29.028409955427968,138.3737850170677,6.736630464526084,299.23844024309096,33.353030534571985
segment_x03_y04,711418.09234,711434.15866,308263.025475,308282.878,248,7.507214509265656,4.8998883857773325,247.0,43.0,2.1553754806518555,0.36606544256210327,6.023327669583036,0.9698053258595288,2.5835485118812955,0.2829328059283179,287.10452896949664,35.49616879146185,146.8629755164167,7.652547125120307,373.49770675782696,38.718457632222496
segment_x04_y02,711431.4809399999,711447.54726,308226.929975,308248.587275,17,3.890455700229792,0.08895286052136958,16.0,2.0,2.126575469970703,0.8772897720336914,5.502722703409506,0.877346528964331,2.5319400222488007,0.6710400012072856,13.273657479405593,2.163406092128485,22.762997948920496,1.3344123503925454,18.66646525707073,3.0519449821217095
segment_x04_y03,711431.4809399999,711447.54726,308244.97772499995,308266.635025,42,5.145245490192419,2.4116826835639307,41.0,7.0,2.0623462200164795,0.8992034196853638,7.362632162943754,1.3388488540083332,2.4181017772864464,0.8600854053654,31.34920886544417,8.430689223538305,49.49562938300285,4.224867264086024,43.17023178814826,11.996089043610189
segment_x04_y04,711431.4809399999,711447.54726,308263.025475,308282.878,77,5.8025386769732465,2.758610162580369,76.0,11.0,2.7277464866638184,0.4194486141204834,6.4956439289610115,0.6748580720486266,3.678224402692326,0.31384427092489575,70.56014686464165,8.89657656263803,62.83102729601765,2.1594742224299868,91.90512689084005,10.371698514612113
segment_x05_y03,711444.86954,711459.597,308244.97772499995,308266.635025,12,3.2447420658650046,0.0,11.0,1.0,2.9292776584625244,0.12045097351074219,4.875857529580282,0.12045097351074219,4.0932947891324964,0.03413089567492425,9.212553752773413,0.0,14.90673877003675,0.4908176311232965,13.721469740328198,1.831196667229022
segment_x05_y04,711444.86954,711459.597,308263.025475,308282.878,16,3.6754357142300567,0.9999364840078808,15.0,2.0,3.1782591342926025,0.21291828155517578,7.038423139913715,0.2983258293741221,4.6261122817765985,0.11191560246611995,10.836262555219205,0.6239462480361112,22.600192818207425,0.9160591823830783,15.586132221390676,4.2032249341524075
