birth,death,dimension
0.000000000000000000e+00,1.412055194377899170e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.814634948968887329e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.322756946086883545e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.776994705200195312e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.195621967315673828e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.442978262901306152e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.215281605720520020e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.135309100151062012e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.358301997184753418e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.940126180648803711e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.059942245483398438e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.134129405021667480e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.282259464263916016e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.391474843025207520e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.420229315757751465e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.474684119224548340e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.584279775619506836e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.693334817886352539e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.723037004470825195e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.159466981887817383e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.625131845474243164e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.147841334342956543e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.523046016693115234e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.057295560836791992e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.067609429359436035e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.073069453239440918e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.149629473686218262e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.158292293548583984e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.195518732070922852e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.218012332916259766e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.223015069961547852e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.294671416282653809e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.382009387016296387e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.406937837600708008e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.444148898124694824e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.503057599067687988e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.510625362396240234e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.521144986152648926e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.593144655227661133e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.601335644721984863e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.616919636726379395e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.651736617088317871e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.752014279365539551e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.769055366516113281e+00,0.000000000000000000e+00
