segment_id,x_range_start,x_range_end,y_range_start,y_range_end,overlap_ratio_x,overlap_ratio_y,n_points
segment_x01_y01,711392.654,711407.38146,308210.687,308230.53952500003,0.2,0.2,51
segment_x01_y02,711392.654,711407.38146,308226.929975,308248.587275,0.2,0.2,158
segment_x01_y03,711392.654,711407.38146,308244.97772499995,308266.635025,0.2,0.2,6
segment_x01_y04,711392.654,711407.38146,308263.025475,308282.878,0.2,0.2,1
segment_x02_y01,711404.7037399999,711420.77006,308210.687,308230.53952500003,0.2,0.2,50
segment_x02_y02,711404.7037399999,711420.77006,308226.929975,308248.587275,0.2,0.2,237
segment_x02_y03,711404.7037399999,711420.77006,308244.97772499995,308266.635025,0.2,0.2,220
segment_x02_y04,711404.7037399999,711420.77006,308263.025475,308282.878,0.2,0.2,28
segment_x03_y01,711418.09234,711434.15866,308210.687,308230.53952500003,0.2,0.2,22
segment_x03_y02,711418.09234,711434.15866,308226.929975,308248.587275,0.2,0.2,43
segment_x03_y03,711418.09234,711434.15866,308244.97772499995,308266.635025,0.2,0.2,199
segment_x03_y04,711418.09234,711434.15866,308263.025475,308282.878,0.2,0.2,248
segment_x04_y01,711431.4809399999,711447.54726,308210.687,308230.53952500003,0.2,0.2,0
segment_x04_y02,711431.4809399999,711447.54726,308226.929975,308248.587275,0.2,0.2,17
segment_x04_y03,711431.4809399999,711447.54726,308244.97772499995,308266.635025,0.2,0.2,42
segment_x04_y04,711431.4809399999,711447.54726,308263.025475,308282.878,0.2,0.2,77
segment_x05_y01,711444.86954,711459.597,308210.687,308230.53952500003,0.2,0.2,0
segment_x05_y02,711444.86954,711459.597,308226.929975,308248.587275,0.2,0.2,0
segment_x05_y03,711444.86954,711459.597,308244.97772499995,308266.635025,0.2,0.2,12
segment_x05_y04,711444.86954,711459.597,308263.025475,308282.878,0.2,0.2,16
