birth,death,dimension
0.000000000000000000e+00,2.575344741344451904e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.678301632404327393e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.828498423099517822e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.753114879131317139e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.873857140541076660e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.923056602478027344e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.557446122169494629e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.657431721687316895e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.887046098709106445e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.928796052932739258e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.955467343330383301e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.012672662734985352e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.054023742675781250e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.099705815315246582e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.178177356719970703e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.192591309547424316e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.269282102584838867e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.289420008659362793e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.293162822723388672e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.314586281776428223e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.377167344093322754e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.442775487899780273e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.453665018081665039e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.472106337547302246e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.706354260444641113e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.827725648880004883e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.895241975784301758e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.895470619201660156e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.960971951484680176e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.973018765449523926e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.063371181488037109e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.130989074707031250e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.214267492294311523e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.237880706787109375e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.739016294479370117e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.842350721359252930e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.883400917053222656e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.169960021972656250e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.352389574050903320e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.542714595794677734e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.800791740417480469e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.699159622192382812e+00,0.000000000000000000e+00
