birth,death,dimension
0.000000000000000000e+00,1.224744878709316254e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.994993723928928375e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.420743741095066071e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.808914333581924438e-02,0.000000000000000000e+00
0.000000000000000000e+00,4.451965913176536560e-02,0.000000000000000000e+00
0.000000000000000000e+00,5.707889422774314880e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.736924290657043457e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.749838382005691528e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.808969169855117798e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.964923232793807983e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.208531886339187622e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.222530037164688110e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.259540051221847534e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.422588557004928589e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.547513931989669800e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.612781018018722534e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.902808278799057007e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.041017293930053711e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.069729596376419067e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.080749005079269409e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.101098775863647461e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.124691784381866455e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.172786027193069458e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.501578658819198608e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.702061861753463745e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.769851714372634888e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.925220161676406860e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.011434644460678101e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.015775576233863831e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.053612828254699707e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.073731780052185059e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.077497079968452454e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.091466918587684631e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.094988584518432617e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.123654767870903015e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.127253323793411255e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.133490204811096191e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.164259389042854309e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.168931126594543457e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.169871762394905090e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.173285990953445435e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.197747886180877686e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.208676993846893311e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.214289888739585876e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.218933984637260437e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.222374737262725830e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.258689761161804199e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.259880959987640381e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.280078142881393433e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.283900290727615356e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.287827640771865845e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.294990330934524536e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.351480633020401001e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.360698342323303223e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.365467011928558350e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.377170979976654053e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.386253982782363892e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.389460265636444092e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.390467584133148193e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.390898972749710083e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.405418068170547485e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.416827440261840820e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.420352011919021606e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.446858644485473633e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.447273343801498413e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.465946733951568604e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.479188948869705200e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.484486460685729980e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.501499265432357788e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.511323899030685425e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.515189707279205322e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.516509205102920532e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.520657688379287720e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.524368673563003540e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.542822122573852539e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.543340533971786499e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.545768380165100098e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.554284393787384033e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.554670333862304688e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.554670333862304688e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.579272001981735229e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.582150459289550781e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.592607945203781128e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.607731282711029053e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.609099060297012329e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.613040566444396973e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.616941541433334351e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.621203273534774780e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.629140824079513550e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.706018745899200439e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.716886758804321289e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.720174401998519897e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.727020591497421265e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.740574687719345093e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.747140586376190186e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.756729930639266968e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.784180551767349243e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.796023398637771606e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.798165738582611084e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.799027472734451294e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.811656653881072998e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.812677532434463501e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.815654188394546509e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.825869679450988770e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.826526820659637451e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.833330243825912476e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.876486092805862427e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.886001080274581909e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.898683756589889526e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.919531226158142090e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.922862380743026733e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.930181384086608887e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.937085390090942383e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.964535564184188843e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.965629607439041138e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.966875642538070679e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.995244324207305908e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.002423554658889771e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.003621757030487061e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.005193233489990234e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.020791918039321899e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.022992819547653198e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.042106688022613525e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.046093791723251343e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.054507285356521606e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.075331360101699829e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.090167403221130371e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.122969627380371094e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.127392739057540894e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.131220251321792603e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.136000990867614746e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.149906903505325317e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.189155071973800659e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.190114110708236694e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.209909558296203613e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.216596454381942749e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.227240502834320068e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.227756679058074951e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.237632721662521362e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.242543250322341919e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.249555438756942749e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.264155447483062744e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.282498627901077271e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.282936722040176392e-01,0.000000000000000000e+00
