x,y,z
7.114115570000000298e+05,3.082376720000000205e+05,9.302100000000000080e+01
7.114237870000000112e+05,3.082766180000000168e+05,9.399399999999999977e+01
7.114188850000000093e+05,3.082665829999999842e+05,9.398199999999999932e+01
7.114126999999999534e+05,3.082410540000000037e+05,9.305700000000000216e+01
7.114303769999999786e+05,3.082677970000000205e+05,9.170499999999999829e+01
7.114222179999999935e+05,3.082564029999999912e+05,9.243699999999999761e+01
7.114049599999999627e+05,3.082303900000000140e+05,9.363299999999999557e+01
7.114143229999999749e+05,3.082463479999999981e+05,9.317199999999999704e+01
7.114052410000000382e+05,3.082378819999999832e+05,9.435000000000000853e+01
7.114136389999999665e+05,3.082472810000000172e+05,9.342799999999999727e+01
7.114131389999999665e+05,3.082458439999999828e+05,9.340000000000000568e+01
7.114281609999999637e+05,3.082676880000000237e+05,9.204900000000000659e+01
7.114281800000000512e+05,3.082739890000000014e+05,9.286400000000000432e+01
7.114301069999999600e+05,3.082677700000000186e+05,9.176999999999999602e+01
7.114163830000000307e+05,3.082496369999999879e+05,9.304500000000000171e+01
7.114113939999999711e+05,3.082508510000000242e+05,9.419100000000000250e+01
7.114209370000000345e+05,3.082205829999999842e+05,9.086100000000000421e+01
7.114273680000000168e+05,3.082634469999999856e+05,9.191299999999999670e+01
7.114266090000000549e+05,3.082653560000000289e+05,9.221300000000000807e+01
7.114264690000000410e+05,3.082640200000000186e+05,9.215300000000000580e+01
7.114056909999999916e+05,3.082354110000000219e+05,9.392799999999999727e+01
7.114135690000000177e+05,3.082497380000000121e+05,9.363700000000000045e+01
7.114134350000000559e+05,3.082482320000000182e+05,9.353900000000000148e+01
7.114234220000000205e+05,3.082654579999999842e+05,9.291100000000000136e+01
7.114328279999999795e+05,3.082797040000000270e+05,9.230100000000000193e+01
7.114137870000000112e+05,3.082548449999999721e+05,9.411599999999999966e+01
7.114337839999999851e+05,3.082753580000000075e+05,9.182399999999999807e+01
7.114059030000000494e+05,3.082380489999999991e+05,9.420100000000000762e+01
7.114121389999999665e+05,3.082497540000000154e+05,9.390600000000000591e+01
7.114067179999999935e+05,3.082634569999999949e+05,9.559199999999999875e+01
7.114186650000000373e+05,3.082634689999999828e+05,9.358899999999999864e+01
7.114246019999999553e+05,3.082662399999999907e+05,9.274699999999999989e+01
7.114229120000000112e+05,3.082526479999999865e+05,9.202400000000000091e+01
7.114162430000000168e+05,3.082505229999999865e+05,9.309400000000000830e+01
7.114189669999999460e+05,3.082390310000000172e+05,9.178300000000000125e+01
7.114124889999999432e+05,3.082406709999999730e+05,9.299899999999999523e+01
7.114170370000000112e+05,3.082498520000000135e+05,9.294200000000000728e+01
7.114076720000000205e+05,3.082420599999999977e+05,9.443900000000000716e+01
7.114170280000000494e+05,3.082186950000000070e+05,9.096699999999999875e+01
7.114136720000000205e+05,3.082513389999999781e+05,9.376300000000000523e+01
7.114171600000000326e+05,3.082553439999999828e+05,9.334400000000000830e+01
7.114261709999999730e+05,3.082555090000000200e+05,9.174399999999999977e+01
7.114301030000000028e+05,3.082655310000000172e+05,9.152200000000000557e+01
7.114272389999999432e+05,3.082679000000000233e+05,9.220900000000000318e+01
7.114086430000000400e+05,3.082358520000000135e+05,9.337900000000000489e+01
7.114256330000000307e+05,3.082696030000000028e+05,9.278100000000000591e+01
7.114089540000000270e+05,3.082391060000000289e+05,9.358899999999999864e+01
7.114155159999999451e+05,3.082566950000000070e+05,9.370900000000000318e+01
7.114177219999999506e+05,3.082564720000000088e+05,9.324599999999999511e+01
7.114462219999999506e+05,3.082501909999999916e+05,8.974299999999999500e+01
7.114055749999999534e+05,3.082344330000000191e+05,9.382099999999999795e+01
7.114039290000000037e+05,3.082315810000000056e+05,9.405899999999999750e+01
7.114157340000000549e+05,3.082653549999999814e+05,9.426999999999999602e+01
7.114288009999999776e+05,3.082720750000000116e+05,9.256199999999999761e+01
7.114077680000000400e+05,3.082352920000000158e+05,9.348199999999999932e+01
7.114222739999999758e+05,3.082642249999999767e+05,9.298799999999999955e+01
7.114214070000000065e+05,3.082564230000000098e+05,9.247100000000000364e+01
7.114005309999999590e+05,3.082335860000000102e+05,9.504699999999999704e+01
7.114292600000000093e+05,3.082675920000000042e+05,9.190399999999999636e+01
7.114248249999999534e+05,3.082676639999999898e+05,9.283100000000000307e+01
7.114198399999999674e+05,3.082582440000000061e+05,9.306400000000000716e+01
7.114287820000000065e+05,3.082737110000000102e+05,9.271999999999999886e+01
7.114595969999999506e+05,3.082779890000000014e+05,8.871900000000000830e+01
7.114439050000000279e+05,3.082518809999999939e+05,8.973300000000000409e+01
7.114251689999999944e+05,3.082615740000000224e+05,9.228300000000000125e+01
7.114019030000000494e+05,3.082388219999999856e+05,9.543099999999999739e+01
7.114190509999999776e+05,3.082243510000000242e+05,9.076200000000000045e+01
7.114018810000000522e+05,3.082305760000000009e+05,9.431900000000000261e+01
7.114051800000000512e+05,3.082306790000000037e+05,9.361499999999999488e+01
7.114294000000000233e+05,3.082618109999999870e+05,9.136499999999999488e+01
7.114509510000000009e+05,3.082580270000000019e+05,8.942799999999999727e+01
7.114159490000000224e+05,3.082559110000000219e+05,9.363899999999999579e+01
7.113960849999999627e+05,3.082301799999999930e+05,9.561299999999999955e+01
7.114163569999999600e+05,3.082495520000000251e+05,9.304999999999999716e+01
7.114156199999999953e+05,3.082501419999999925e+05,9.319700000000000273e+01
7.114163460000000196e+05,3.082557989999999991e+05,9.346399999999999864e+01
7.114208850000000093e+05,3.082576709999999730e+05,9.277800000000000580e+01
7.114368270000000484e+05,3.082374239999999991e+05,9.024599999999999511e+01
7.114241149999999907e+05,3.082735850000000210e+05,9.362199999999999989e+01
7.114029490000000224e+05,3.082192150000000256e+05,9.225600000000000023e+01
7.114301500000000233e+05,3.082681099999999860e+05,9.174800000000000466e+01
7.113993460000000196e+05,3.082277579999999725e+05,9.454399999999999693e+01
7.114338220000000438e+05,3.082517999999999884e+05,9.016700000000000159e+01
7.114082909999999683e+05,3.082352490000000107e+05,9.330800000000000693e+01
7.114215289999999804e+05,3.082586840000000084e+05,9.287199999999999989e+01
7.114329510000000009e+05,3.082685339999999851e+05,9.155899999999999750e+01
7.114220919999999460e+05,3.082586680000000051e+05,9.271399999999999864e+01
7.114314020000000019e+05,3.082751919999999809e+05,9.218800000000000239e+01
7.114306999999999534e+05,3.082660520000000251e+05,9.148100000000000875e+01
7.114164980000000214e+05,3.082583109999999870e+05,9.355800000000000693e+01
7.114077610000000568e+05,3.082419810000000289e+05,9.439799999999999613e+01
7.114568199999999488e+05,3.082722760000000126e+05,8.895400000000000773e+01
7.114133310000000056e+05,3.082324469999999856e+05,9.216500000000000625e+01
7.114138610000000335e+05,3.082425140000000247e+05,9.294500000000000739e+01
