PRISM Time Series Data,,,,
Location:  Lat: 32.2799   Lon: -90.2117   Elev: 292ft,,,,
"Climate variables: ppt,tmean,tdmean",,,,
Spatial resolution: 800m,,,,
Period: 2021-08 - 2024-02,,,,
Dataset: AN91m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: On,,,,
Time series generated: 2025-May-13,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,
Date,Precipitation(inches),Mean temp (degrees F),Mean dewpoint temp (degrees F),Soil Moisture
2021-05,3.59,71.1,61.6,58.5
2021-06,5.64,79.6,70.3,59.1
2021-07,11.38,81.6,73.2,60
2021-08,6.34,82.7,73.1,38.9
2021-09,1.56,76.2,67.7,31.9
2021-10,2.18,69.8,61,34.5
2021-11,1.35,53.4,44.5,33.6
2021-12,3.64,60.1,53,39.8
2022-01,4.18,45.1,34.2,49
2022-02,1.63,48.8,38.4,52.7
2022-03,11.82,57.6,44.2,55.2
2022-04,7.57,64.7,52.7,54.5
2022-05,5.24,76.6,65.7,52.5
2022-06,3.85,82,71,46.3
2022-07,4.99,83.8,74.8,34.9
2022-08,16.58,81.3,73.9,57.3
2022-09,1.05,76.5,65.3,47.1
2022-10,1.03,64.2,51.2,29.1
2022-11,4.81,55.9,48,51.4
2022-12,6.32,51.5,43.9,54.7
2023-01,7.15,53,46.1,58
2023-02,5.09,56.6,47.8,58.4
2023-03,6.27,61.1,49.2,55.7
2023-04,9.6,65.2,53.9,58.6
2023-05,2.92,73.9,62.5,59.4
2023-06,4.35,79.6,70.1,58
2023-07,3.31,83.8,73.9,60
2023-08,0.08,87.3,71.3,41.4
2023-09,0.96,80.2,64.6,29.3
2023-10,0.28,69,54.2,19.6
2023-11,2.55,55.5,45.4,25.3
2023-12,3.49,50.7,39.9,34.3
2024-01,8.66,43.6,34.9,51.9
2024-02,5.31,55.4,43.6,53.5
2024-03,9.87,58.6,48.9,58
2024-04,8.57,66.4,56.3,53.7
2024-05,7.61,76.5,67.3,55.9
2024-06,6.66,80.9,70.1,53
2024-07,3.53,83.5,74,52
2024-08,2.51,83.8,69.3,39.3
2024-09,5.57,77.2,67.5,38.7
2024-10,0,69.4,55,23.3
2024-11,4.55,64.3,57,53.9
2024-12,3.96,52.7,43.7,58.1
